file,class,method,variable,usage
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,"replace/2[long,com.github.unidbg.hook.hookzz.Svc]",RS_SUCCESS,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,"replace/2[long,com.github.unidbg.hook.hookzz.Svc]",zzReplace,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,disable_arm_arm64_b_branch/0,zz_disable_arm_arm64_b_branch,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,disable_arm_arm64_b_branch/0,RS_SUCCESS,1
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\jni\ProxyMethod.java,com.github.unidbg.linux.android.dvm.jni.ProxyMethod,"call/2[com.github.unidbg.linux.android.dvm.VM,java.lang.Object]",args,3
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\jni\ProxyMethod.java,com.github.unidbg.linux.android.dvm.jni.ProxyMethod,"call/2[com.github.unidbg.linux.android.dvm.VM,java.lang.Object]",method,4
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\jni\ProxyMethod.java,com.github.unidbg.linux.android.dvm.jni.ProxyMethod,"call/2[com.github.unidbg.linux.android.dvm.VM,java.lang.Object]",visitor,2
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\jni\ProxyMethod.java,com.github.unidbg.linux.android.dvm.jni.ProxyMethod,"patch/2[java.lang.Object,java.lang.Object[]]",args,3
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\jni\ProxyMethod.java,com.github.unidbg.linux.android.dvm.jni.ProxyMethod,"patch/2[java.lang.Object,java.lang.Object[]]",method,2
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\jni\ProxyMethod.java,com.github.unidbg.linux.android.dvm.jni.ProxyMethod,"ProxyMethod/3[com.github.unidbg.linux.android.dvm.jni.ProxyDvmObjectVisitor,java.lang.reflect.Member,java.lang.Object[]]",args,3
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\jni\ProxyMethod.java,com.github.unidbg.linux.android.dvm.jni.ProxyMethod,"ProxyMethod/3[com.github.unidbg.linux.android.dvm.jni.ProxyDvmObjectVisitor,java.lang.reflect.Member,java.lang.Object[]]",method,3
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\jni\ProxyMethod.java,com.github.unidbg.linux.android.dvm.jni.ProxyMethod,"ProxyMethod/3[com.github.unidbg.linux.android.dvm.jni.ProxyDvmObjectVisitor,java.lang.reflect.Member,java.lang.Object[]]",visitor,3
C:\unidbg-master\backend\kvm\src\main\java\com\github\unidbg\arm\backend\kvm\KvmBackend32.java,com.github.unidbg.arm.backend.kvm.KvmBackend32,"handleException/5[long,long,long,long,long]",log,2
C:\unidbg-master\backend\kvm\src\main\java\com\github\unidbg\arm\backend\kvm\KvmBackend32.java,com.github.unidbg.arm.backend.kvm.KvmBackend32,"handleException/5[long,long,long,long,long]",EC_AA32_SVC,1
C:\unidbg-master\backend\kvm\src\main\java\com\github\unidbg\arm\backend\kvm\KvmBackend32.java,com.github.unidbg.arm.backend.kvm.KvmBackend32,"handleException/5[long,long,long,long,long]",EC_AA32_BKPT,1
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\signal\SignalFunction.java,com.github.unidbg.linux.signal.SignalFunction,run/1[com.github.unidbg.AbstractEmulator<?>],signum,3
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\signal\SignalFunction.java,com.github.unidbg.linux.signal.SignalFunction,run/1[com.github.unidbg.AbstractEmulator<?>],infoBlock,7
