file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-linkis-node-execution\src\main\java\com\webank\wedatasphere\dss\linkis\node\execution\parser\CodeParser.java,com.webank.wedatasphere.dss.linkis.node.execution.parser.CodeParser,class,14,16,2,14,40,1,0,63,28,0.875,NaN,NaN,8,0,1,7,0,0,1,0,0,0,4,1,0,4,0,0,2,0,6,168,14,5,14,0,1,37,5,46,11,37,4,1,0,1,102,1,7
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\dao\ApiServiceVersionDao.java,com.webank.wedatasphere.dss.apiservice.core.dao.ApiServiceVersionDao,interface,2,4,2,2,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,24,1,0
C:\DataSphereStudio-master\dss-framework\dss-framework-project-server\src\main\java\com\webank\wedatasphere\dss\framework\project\conf\ProjectConf.java,com.webank.wedatasphere.dss.framework.project.conf.ProjectConf,interface,1,1,0,1,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,14,1,0
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-linkis-node-execution\src\main\java\com\webank\wedatasphere\dss\linkis\node\execution\service\LinkisURLService.java,com.webank.wedatasphere.dss.linkis.node.execution.service.LinkisURLService$Factory,innerclass,4,4,0,4,6,1,0,10,0,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,27,2,0,2,1,0,1,1,3,0,3,4,0,0,1,18,0,0
C:\DataSphereStudio-master\dss-standard\development-standard\development-process-standard\src\main\java\com\webank\wedatasphere\dss\standard\app\development\service\AbstractRefExecutionService.java,com.webank.wedatasphere.dss.standard.app.development.service.AbstractRefExecutionService,class,4,4,0,4,2,5,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1025,0
C:\DataSphereStudio-master\dss-standard\structure-standard\dss-structure-integration-standard\src\main\java\com\webank\wedatasphere\dss\standard\app\structure\project\ref\DSSProjectPrivilege.java,com.webank.wedatasphere.dss.standard.app.structure.project.ref.DSSProjectPrivilege,interface,2,6,4,2,4,1,0,5,6,1.0,0.0,0.0,4,1,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,1,40,1,0,0,0,0,0,3,1,0,1,0,0,1,0,17,1,0
C:\DataSphereStudio-master\dss-appconn\appconns\dss-sendemail-appconn\sendemail-appconn-core\src\main\java\com\webank\wedatasphere\dss\appconn\sendemail\hook\EmailInfo.java,com.webank.wedatasphere.dss.appconn.sendemail.hook.EmailInfo,class,0,0,0,0,26,1,0,0,299,0.92307687,0.04,0.04,26,0,26,0,0,0,26,0,0,0,13,0,0,13,0,0,0,0,0,93,13,0,0,0,0,0,1,14,0,13,0,0,0,0,34,1,0
C:\DataSphereStudio-master\dss-standard\development-standard\development-process-standard\src\main\java\com\webank\wedatasphere\dss\standard\app\development\ref\ExportResponseRef.java,com.webank.wedatasphere.dss.standard.app.development.ref.ExportResponseRef$ExportResponseRefBuilder,innerclass,5,5,0,5,2,3,0,0,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,18,2,0,0,0,0,0,0,1,0,1,0,0,1,0,10,0,0
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-linkis-node-execution\src\main\java\com\webank\wedatasphere\dss\linkis\node\execution\service\impl\BuildJobActionImpl.java,com.webank.wedatasphere.dss.linkis.node.execution.service.impl.BuildJobActionImpl,class,10,12,2,10,30,1,0,50,49,0.8181819,0.0,0.0,11,1,4,7,0,0,4,0,0,0,2,1,0,2,0,0,0,0,2,113,13,0,3,0,2,24,0,27,2,23,4,0,0,0,61,1,6
C:\DataSphereStudio-master\dss-apps\dss-data-api\dss-data-api-server\src\main\java\com\webank\wedatasphere\dss\data\api\server\restful\DSSDbApiMonitorRestful.java,com.webank.wedatasphere.dss.data.api.server.restful.DSSDbApiMonitorRestful,class,16,17,1,16,12,1,0,22,0,0.53333336,0.8666667,1.0,10,0,10,0,0,0,10,0,0,0,3,1,1,2,0,0,1,0,6,55,10,0,2,0,0,34,3,11,0,11,1,0,0,0,57,1,4
