file,class,method,variable,usage
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",e,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",paramTypes,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",maxApiVersionVo,6
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",moduleName,0
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",apiServiceVo,16
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",k,12
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",jobExecuteResult,4
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",httpMethod,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",tokenDetail,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",apiServiceJob,4
